,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
89,Wadi Shab Adventure,Ports of Call Tours,6+ hours,$461.54,per group,Free cancellation,By VS Private Tours,Muscat,Oman,https://www.tripadvisor.com/Attraction_Review-g1940497-d6651163-Reviews-VS_Private_Tours-Muscat_Muscat_Governorate.html
90,Private-Muscat City tour (Half Day),Bus Tours,4 hours,$156.80,per group,Free cancellation,By OMAN DAY TRIPS,Muscat,Oman,https://www.tripadvisor.com/Attraction_Review-g1940497-d17735893-Reviews-OMAN_DAY_TRIPS-Muscat_Muscat_Governorate.html
91,Private Tour to Jabal Shams Grand Canyon Balcony Walk,Bus Tours,12–13 hours,$124.45,per adult,Free cancellation,By Radka Slavikova,Muscat,Oman,https://www.tripadvisor.com/Attraction_Review-g1940497-d22977059-Reviews-Radka_Slavikova-Muscat_Muscat_Governorate.html
92,Private Full-Day Wadi Shab and Bimmah Sinkhole Tour,Adventure Tours,7–8 hours,$156.20,per adult,Free cancellation,By Star Tours Oman,Muscat,Oman,https://www.tripadvisor.com/Attraction_Review-g1940497-d14046842-Reviews-Star_Tours_Oman-Muscat_Muscat_Governorate.html
93,Diserto and Wadi bani khaled with an ITA / FRA guide,Full-day Tours,6+ hours,$316.78,per group,Free cancellation,By Round In Oman,Muscat,Oman,https://www.tripadvisor.com/Attraction_Review-g1940497-d19876356-Reviews-Round_In_Oman-Muscat_Muscat_Governorate.html
94,Tour Shahad 4 Days Package,Private and Luxury,3+ days,"$1,246.67",per adult,Free cancellation,By Discover Mazoon Tours Oman,Muscat,Oman,https://www.tripadvisor.com/Attraction_Review-g1940497-d15840326-Reviews-Discover_Mazoon_Tours_Oman-Muscat_Muscat_Governorate.html
95,Jebel Akhdar - Cool and Green,Full-day Tours,7–9 hours,$205.00,per adult,Free cancellation,By Oman Day Tours,Muscat,Oman,https://www.tripadvisor.com/Attraction_Review-g1940497-d4481238-Reviews-Oman_Day_Tours-Muscat_Muscat_Governorate.html
96,Sunset in Al Wahiba Sands. (Tramonto Al diserto),Ports of Call Tours,8–10 minutes,$339.41,per group,Free cancellation,By Round In Oman,Muscat,Oman,https://www.tripadvisor.com/Attraction_Review-g1940497-d19876356-Reviews-Round_In_Oman-Muscat_Muscat_Governorate.html
97,,1,3,,,5,,Muscat,Oman,
98,"36' Private Boat Charter for 15 Person in Muscat, Oman",,2 hours,$586.67,per group,Free cancellation,By Qantab Tourism,Muscat,Oman,https://www.tripadvisor.com/Attraction_Review-g1940497-d12356088-Reviews-Qantab_Tourism-Muscat_Muscat_Governorate.html
