,Image,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
81,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4d/65/da/caption.jpg?w=500&h=400&s=1,Barcelona Sailing Sunset Experience Shared Sailboat from Port Olimpic,Private and Luxury,2 hours,$62.22,per adult,Free cancellation,By Barcelona Sailing,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d19006871-Reviews-Barcelona_Sailing-Barcelona_Catalonia.html
82,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/e3/e1/1b/caption.jpg?w=500&h=400&s=1,"Barcelona Sailing Day, 1h Sailing Tours",Adventure Tours,1 hour,$33.94,per adult,Free cancellation,By Barcelona Sailing Day,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d15791738-Reviews-Barcelona_Sailing_Day-Barcelona_Catalonia.html
83,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/be/a5/7a/caption.jpg?w=500&h=400&s=1,Barcelona's best private family food tour,Walking Tours,3 hours,$93.90,per adult,Free cancellation,By Withlocals,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d10436307-Reviews-Withlocals-Barcelona_Catalonia.html
84,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8a/57/0a/caption.jpg?w=500&h=400&s=1,Tapas and Wine Walking Tour with Flamenco Experience,Wine Tours,4 hours,$90.51,per adult,Free cancellation,By Barcelona Local Experiences,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d7763839-Reviews-Barcelona_Local_Experiences-Barcelona_Catalonia.html
85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/a4/51/b2/caption.jpg?w=500&h=400&s=1,Hot Air Balloon Barcelona flight,Adventure Tours,3–5 hours,$220.62,per adult,Free cancellation,By Camins de Vent,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d5257014-Reviews-Camins_de_Vent-Barcelona_Catalonia.html
86,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8e/ac/96/caption.jpg?w=500&h=400&s=1,"Barcelona Tour with Licensed Guide: Sagrada Familia, Park Güell and La Pedrera",Bus Tours,6+ hours,$248.90,per adult,Free cancellation,By We Are Guides Barcelona,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d13908805-Reviews-We_Are_Guides_Barcelona-Barcelona_Catalonia.html
87,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/8e/72/c1/caption.jpg?w=500&h=400&s=1,Private Montserrat Tour with Hotel pick-up from Barcelona,Cable Car Tours,5 hours,$230.27,per adult,Free cancellation,By In Out Barcelona Tours,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d7365281-Reviews-In_Out_Barcelona_Tours-Barcelona_Catalonia.html
88,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/65/69/6a/caption.jpg?w=500&h=400&s=1,"Dali Museum, Figueres and Cadaqués Small Group Tour with Hotel pick-up",Bus Tours,6+ hours,$138.16,per adult,Free cancellation,By In Out Barcelona Tours,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d7365281-Reviews-In_Out_Barcelona_Tours-Barcelona_Catalonia.html
89,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a1/91/ed/caption.jpg?w=500&h=-1&s=1,The most complete Food & Drink tasting tour of Barcelona in traditional taverns,Wine Tours,3 hours,$85.98,per adult,Free cancellation,By Local CoolTour Barcelona,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d15635679-Reviews-Local_CoolTour_Barcelona-Barcelona_Catalonia.html
90,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/cf/87/49/caption.jpg?w=500&h=400&s=1,Roman Tarragona and Glamorous Sitges Small Group Tour from Barcelona,Bus Tours,6+ hours,$102.47,per adult,Free cancellation,By Explore Catalunya,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d1602326-Reviews-Explore_Catalunya-Barcelona_Catalonia.html
