,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
22,Tour of World Heritage Kasbah Ait Ben Haddou from Marrakech,Bus Tours,6+ hours,$39.60,per adult,Free cancellation,By Audax Events,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d15816779-Reviews-Audax_Events-Marrakech_Marrakech_Safi.html
23,"Desert Agafay & Atlas Mountains & Waterfalls, Camel ride Day Trip From Marrakech",Bus Tours,6+ hours,$22.63,per adult,Free cancellation,By Ibrahim Amzil,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d19426367-Reviews-Ibrahim_Amzil-Marrakech_Marrakech_Safi.html
24,Moroccan Cooking Class With Chef Najlae !,Cooking Classes,4 hours,$36.20,per adult,Free cancellation,By najlae el rhazi,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d17559305-Reviews-Najlae_el_rhazi-Marrakech_Marrakech_Safi.html
25,Magical private dinner in Marrakech desert,Bus Tours,6 hours,$108.61,per adult,Free cancellation,By Maroc Excursions,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d2372555-Reviews-Maroc_Excursions-Marrakech_Marrakech_Safi.html
26,10D 9N Private Morocco Tour From Casablanca By Imperial Cities And South Desert,Bus Tours,3+ days,$710.05,per adult,Free cancellation,By Morocco Desert Trips,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g304013-d17385655-Reviews-Morocco_Desert_Trips-Chefchaouen_Tanger_Tetouan_Al_Hoceima.html
27,Exceptional Private ROYAL Hot Air Balloon Flight with Seated Air Breakfast,Adventure Tours,4 hours,$659.21,per adult,Free cancellation,By Ciel d'Afrique Hot Air Ballooning,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d1439299-Reviews-Ciel_d_Afrique_Hot_Air_Ballooning-Marrakech_Marrakech_Safi.html
28,"Marrakech Day Trip including Lunch, Camel Ride from Casablanca",Car Tours,6+ hours,$159.74,per adult,Free cancellation,By Premium Transfers & Tours - Navette4You,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293732-d8342920-Reviews-Premium_Transfers_Tours_Navette4You-Casablanca_Casablanca_Settat.html
29,Historical and Cultural Tour - Private Tours (Half day),Private and Luxury,3 hours,$24.75,per adult,Free cancellation,By Marrakech Guided Experience,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d14174497-Reviews-Marrakech_Guided_Experience-Marrakech_Marrakech_Safi.html
30,Marrakech To Merzouga 3-Days Morocco Desert Tour,Adventure Tours,3 days,$113.14,per adult,Free cancellation,By Marrakech City Life,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d15521258-Reviews-Marrakech_City_Life-Marrakech_Marrakech_Safi.html
31,Atlas Mountains & 5 Valleys Day Tour from Marrakech - All inclusive -,Bus Tours,8–9 hours,$66.75,per adult,Free cancellation,By Attractive Tours,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d2092270-Reviews-Attractive_Tours-Marrakech_Marrakech_Safi.html
