,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
223,"Cape Winelands - Stellenbosch, Franschoek & Paarl, small group tour",Bus Tours,6+ hours,$89.58,per adult,Free cancellation,By Mile by Mile Tours - Day Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d7058222-Reviews-Mile_by_Mile_Tours_Day_Tours-Cape_Town_Central_Western_Cape.html
224,Gansbaai Shark Diving Extreme Adventure Transfer,Car Tours,6+ hours,$105.76,per adult,Free cancellation,By Raw Tours Cape Town,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d17781682-Reviews-Raw_Tours_Cape_Town-Cape_Town_Central_Western_Cape.html
225,,1,7,,,9,,Cape Town,South Africa,
226,,,,,,,Clear all filters,Cape Town,South Africa,
227,Bicycle Township Tour in Cape Town,Bike Tours,3–4 hours,$65.64,per adult,Free cancellation,By AWOL Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d481272-Reviews-AWOL_Tours-Cape_Town_Central_Western_Cape.html
228,5- 8 Passenger Private Cape Town Airport Transfer,,40–60 minutes,$51.28,per group,Free cancellation,By Citi Shuttles,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d12914180-Reviews-Citi_Shuttles-Cape_Town_Central_Western_Cape.html
229,Cape Agulhas Full Day Private Tour from Cape Town,Bus Tours,6+ hours,$164.80,per adult,Free cancellation,By Kabura Travel Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d8129742-Reviews-Kabura_Travel_Tours-Cape_Town_Central_Western_Cape.html
230,Full Day Cape Peninsula Tour in Private Car,Bus Tours,6–12 hours,$176.00,per group,Free cancellation,By Batende Travel & Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d17777911-Reviews-Batende_Travel_Tours-Cape_Town_Central_Western_Cape.html
231,Cheetah Outreach Tour Incl Hotel Pickup,Adventure Tours,6+ hours,$164.11,per adult,,By Guru Tours Personalised Tour & Charter Service,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g469396-d8666648-Reviews-Guru_Tours_Personalised_Tour_Charter_Service-Somerset_West_Western_Cape.html
232,"Art, Wine Tasting and Gardens Day Tour from Cape Town",Full-day Tours,6+ hours,$149.41,per adult,Free cancellation,By African Moon Adventures,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g1722390-d8837232-Reviews-African_Moon_Adventures-Cape_Town_Western_Cape.html
