,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
22,Michael Jackson ONE by Cirque du Soleil® at Mandalay Bay Resort and Casino,Cirque du Soleil,1–2 hours,$95.69,per adult,,By Michael Jackson ONE by Cirque du Soleil,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d4173939-Reviews-Michael_Jackson_ONE_by_Cirque_du_Soleil-Las_Vegas_Nevada.html
23,The Mentalist at Planet Hollywood Hotel and Casino,Comedy Shows,1 hour,$36.44,per adult,,By The Mentalist,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d1763967-Reviews-The_Mentalist-Las_Vegas_Nevada.html
24,Bryce Canyon and Zion National Park Day Tour from Las Vegas,Bus Tours,6+ hours,$109.00,per adult,Free cancellation,By National Park Express,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d15673500-Reviews-National_Park_Express-Las_Vegas_Nevada.html
25,1 Day Death Valley Small Group Guide Tour with Evening Sunset and Stars Viewing,Bus Tours,6+ hours,$299.00,per adult,Free cancellation,By Grand Canyon Auto Camping Tour,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d17790608-Reviews-Grand_Canyon_Auto_Camping_Tour-Las_Vegas_Nevada.html
26,Scooter Tours of Red Rock Canyon,Adventure Tours,4 hours,$149.00,per adult,Free cancellation,By Red Rock Scooter Tours,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d7738545-Reviews-Red_Rock_Scooter_Tours-Las_Vegas_Nevada.html
27,Grand Canyon West Bus Tour With Lake Mead Photo Stop and Optional Skywalk Ticket,Bus Tours,10–11 hours,$84.00,per adult,Free cancellation,By Grand Canyon Destinations,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d8517251-Reviews-Grand_Canyon_Destinations-Las_Vegas_Nevada.html
28,"Fly LINQ Zipline at The LINQ, Las Vegas",,30 minutes,$37.13,per adult,LIKELY TO SELL OUT*,By Fly LINQ Zipline Las Vegas,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d15352191-Reviews-Fly_LINQ_Zipline_Las_Vegas-Las_Vegas_Nevada.html
29,Two-Hour Exotic Car Driving Experience Package in Las Vegas,,2 hours,$199.00,per adult,Free cancellation,By Exotics Racing,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d1628624-Reviews-Exotics_Racing-Las_Vegas_Nevada.html
30,Nathan Burton Magic Show at V Theater,Comedy Shows,1–2 hours,$20.99,per adult,,By Nathan Burton Comedy Magic,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d1729080-Reviews-Nathan_Burton_Comedy_Magic-Las_Vegas_Nevada.html
31,,2,3,,,,,Las Vegas,USA,
32,,,,,,,Clear all filters,Las Vegas,USA,
33,"Grand Canyon National Park, Hoover Dam and Route 66 Small Group from Las Vegas",Bus Tours,6+ hours,$199.99,per adult,Free cancellation,By Coexist West Coast,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d14032155-Reviews-Coexist_West_Coast-Las_Vegas_Nevada.html
34,"Tournament of Kings Dinner and Show at the Excalibur Hotel and Casino, Las Vegas",Theaters,1–2 hours,$88.93,per adult,,By Tournament of Kings,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d209825-Reviews-Tournament_of_Kings-Las_Vegas_Nevada.html
35,2 Hour Las Vegas Desert Off Road Adventure,Adventure Tours,2–3 hours,$175.00,per adult,,By Desert Off Road Adventures,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d10136673-Reviews-Desert_Off_Road_Adventures-Las_Vegas_Nevada.html
36,Las Vegas Strip Sightseeing and Foodie Tour,Walking Tours,3 hours,$124.00,per adult,Free cancellation,By Taste Buzz Food Tours,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d11444817-Reviews-Taste_Buzz_Food_Tours-Las_Vegas_Nevada.html
37,Hoover Dam Comedy Tour with Lunch,Bus Tours,6–7 hours,$99.00,per adult,Free cancellation,By Comedy on Deck Tours,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d2022095-Reviews-Comedy_on_Deck_Tours-Las_Vegas_Nevada.html
38,Self-Guided Red Rock Canyon Tour on a CanAm Ryker: 2HR Experience!,Adventure Tours,2 hours,$185.00,per adult,Free cancellation,By Limitless Motoring,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d21378577-Reviews-Limitless_Motoring-Las_Vegas_Nevada.html
39,Small Group Hoover Dam Tour by Luxury Tour Trekker,Adventure Tours,3 hours,$117.69,per adult,Free cancellation,By Pink Jeep Tours Las Vegas,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d581526-Reviews-Pink_Jeep_Tours_Las_Vegas-Las_Vegas_Nevada.html
40,Half Day Kayak Tour in the Black Canyon - Self Drive,Adventure Tours,3 hours,$99.00,per adult,Free cancellation,By Blazin' Paddles,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d10465359-Reviews-Blazin_Paddles-Las_Vegas_Nevada.html
41,Valley of Fire Tour,Bus Tours,6 hours,$119.00,per adult,,By West Pearl Tours,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d16845148-Reviews-West_Pearl_Tours-Las_Vegas_Nevada.html
42,ATV Tour in Las Vegas with Hotel Pickup,Adventure Tours,3 hours,$145.19,per adult,Free cancellation,By Sunbuggy Fun Rentals,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d14140925-Reviews-Sunbuggy_Fun_Rentals-Las_Vegas_Nevada.html
43,Area 51 Day Tour from Las Vegas,Day Trips,6+ hours,$204.97,per adult,Free cancellation,By Adventure Photo Tours,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d552952-Reviews-Adventure_Photo_Tours-Las_Vegas_Nevada.html
44,2-Hour Horseback Riding through Red Rock Canyon,,5 hours,$139.00,per adult,Free cancellation,"By Cowboy Trail Rides, Inc.",Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d552993-Reviews-Cowboy_Trail_Rides_Inc-Las_Vegas_Nevada.html
45,Shin Lim: Limitless at the Mirage Las Vegas,Theaters,1–2 hours,$76.29,per adult,,By Shin Lim: LIMITLESS,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d19386234-Reviews-Shin_Lim_LIMITLESS-Las_Vegas_Nevada.html
46,Elvis Themed Wedding or Vow Renewal at Graceland Chapel,,1 hour,$184.99,per adult,Free cancellation,By Graceland Wedding Chapel,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d8677074-Reviews-Graceland_Wedding_Chapel-Las_Vegas_Nevada.html
47,Emerald Cave Kayak Tour with Optional Las Vegas Pickup,,6 hours,$99.00,per adult,Free cancellation,By Las Vegas SUP Kayak Club,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d10807691-Reviews-Las_Vegas_SUP_Kayak_Club-Las_Vegas_Nevada.html
48,Grand Canyon Helicopter Tour from Las Vegas with VIP Skywalk and Pontoon Boat Ride,Adventure Tours,6+ hours,$739.00,per adult,Free cancellation,By Papillon Grand Canyon Helicopters,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g60881-d553004-Reviews-Papillon_Grand_Canyon_Helicopters-Boulder_City_Nevada.html
49,Red Rock Canyon Self-Guided Electric Bike Tour,Adventure Tours,4 hours,$109.00,per adult,Free cancellation,By EzRideLV Electric Bike Tours,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d12484560-Reviews-EzRideLV_Electric_Bike_Tours-Las_Vegas_Nevada.html
50,David Copperfield at the MGM Grand Hotel and Casino,Theaters,1–2 hours,$99.88,per adult,,By David Copperfield,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d1630313-Reviews-David_Copperfield-Las_Vegas_Nevada.html
51,3 Hour Hoover Dam Mini Tour and Seven Magic Mountains Small Group Combo Tour,Bus Tours,4 hours,$89.99,per adult,Free cancellation,By Mr. Las Vegas Tours,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d13189776-Reviews-Mr_Las_Vegas_Tours-Las_Vegas_Nevada.html
52,"Red Rock Canyon, 7 Magic Mountains, Boulder City and Hoover Dam Tour",Adventure Tours,6–7 hours,$144.00,per adult,Free cancellation,By MARVIT TOURS LLC,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d17352213-Reviews-MARVIT_TOURS_LLC-Las_Vegas_Nevada.html
53,Antelope Canyon & Horseshoe Bend Tour from Las Vegas,Bus Tours,6+ hours,$189.00,per adult,,,Las Vegas,USA,
54,Machine Gun Experience in Las Vegas,,1 hour,$134.99,per adult,Free cancellation,By Battlefield Vegas,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d3417767-Reviews-Battlefield_Vegas-Las_Vegas_Nevada.html
55,Best Bites on The Las Vegas Strip: A Beginner's Guide to Sin City,Walking Tours,2–3 hours,$69.00,per adult,Free cancellation,By Best Bet Vegas Tours,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d23642817-Reviews-Best_Bet_Vegas_Tours-Las_Vegas_Nevada.html
56,Marriage Can Be Murder - A LIVE Murder Mystery Dinner Show at The Orleans,Theaters,2 hours,$103.47,per adult,Free cancellation,By Marriage Can Be Murder,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d651376-Reviews-Marriage_Can_Be_Murder-Las_Vegas_Nevada.html
57,Off Road and Shoot Adrenaline Mountain,,4–5 hours,$360.00,per adult,Free cancellation,By Adrenaline Mountain,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d7697784-Reviews-Adrenaline_Mountain-Las_Vegas_Nevada.html
