,Image,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
56,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/17/46/caption.jpg?w=500&h=400&s=1,Private Half-Day Mumbai Cooking Class,Ports of Call Tours,3 hours,$119.00,per adult,Free cancellation,By Mystical Mumbai,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d3916052-Reviews-Mystical_Mumbai-Mumbai_Maharashtra.html
57,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/bc/d0/ce/caption.jpg?w=500&h=400&s=1,Private Cooking Class in Mumbai,Ports of Call Tours,5 hours,$120.00,per adult,Free cancellation,By India Magic Tours,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d3421600-Reviews-India_Magic_Tours-Mumbai_Maharashtra.html
58,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6b/61/8d/caption.jpg?w=500&h=400&s=1,Mumbai Half-Day Street Food Tour,,3 hours,$14.00,per adult,Free cancellation,By Amaze Tours,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d7810578-Reviews-Amaze_Tours-Mumbai_Maharashtra.html
59,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/4e/5a/caption.jpg?w=500&h=400&s=1,Mumbai Combo Tours Sightseeing With Dharavi Slum & Dabbawalas,Bus Tours,7–8 hours,$174.67,per adult,Free cancellation,By Bombay to Mumbai Tours,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d14201312-Reviews-Bombay_to_Mumbai_Tours-Mumbai_Maharashtra.html
60,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c3/d4/7b/caption.jpg?w=500&h=400&s=1,Mumbai Spice Markets and Bazaars Tour with Guide and Transport,Bus Tours,3–4 hours,$74.80,per adult,Free cancellation,By No Footprints,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d12670168-Reviews-No_Footprints-Mumbai_Maharashtra.html
61,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/79/54/41/caption.jpg?w=500&h=400&s=1,Private Mumbai City Tour and Bollywood Tour Combo with Lunch and Transport,Full-day Tours,7–8 hours,$155.00,per adult,Free cancellation,By World of Bollywood India Tours,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d6534467-Reviews-World_of_Bollywood_India_Tours-Mumbai_Maharashtra.html
62,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/41/df/b1/caption.jpg?w=500&h=400&s=1,"All In One Combo Tour of Mumbai City, Dabbawalas, Dhobhi Ghat, Slums & Bollywood",Full-day Tours,7–8 hours,$150.00,per adult,Free cancellation,By World of Bollywood India Tours,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d6534467-Reviews-World_of_Bollywood_India_Tours-Mumbai_Maharashtra.html
63,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/18/3e/caption.jpg?w=500&h=400&s=1,"All in one Combo of City ,Slum,Dhobighat & Dabbawala tour",Full-day Tours,8–10 hours,$76.93,per adult,Free cancellation,By Bollywood Tours,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d1997275-Reviews-Bollywood_Tours-Mumbai_Maharashtra.html
64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/66/25/bc/caption.jpg?w=500&h=400&s=1,1-Day Trip to The Taj Mahal and Agra from Mumbai with Commercial Return Flights,Bus Tours,6+ hours,$376.00,per adult,Free cancellation,By Nikita Holidays,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g297683-d7767144-Reviews-Nikita_Holidays-Agra_Agra_District_Uttar_Pradesh.html
65,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/ea/f7/caption.jpg?w=500&h=400&s=1,Private 2 Days Mumbai Gems Tours(Sightseeing_Slum_Elephanta Cave & Dabbawala),Bus Tours,2 days,$176.00,per adult,Free cancellation,By Bombay to Mumbai Tours,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d14201312-Reviews-Bombay_to_Mumbai_Tours-Mumbai_Maharashtra.html
66,,,1,2,,,4,,Mumbai,India,
67,,,,,,,,Clear all filters,Mumbai,India,
68,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/cf/cd/88/caption.jpg?w=500&h=400&s=1,"Dabbawala, Dhobi Ghat & Dharavi slum Tour with Local Train Ride",Rail Tours,4 hours,$32.00,per adult,Free cancellation,By Mumbai Dream Tours,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d12502455-Reviews-Mumbai_Dream_Tours-Mumbai_Maharashtra.html
