,Attraction Name,Attraction Type,City,Country
108,St James Theatre,Theaters,NewYork,USA
109,Bethel Gospel Assembly,Churches & Cathedrals,NewYork,USA
110,Shubert Theatre,Theaters,NewYork,USA
111,St Joseph's Chapel Catholic Memorial at Ground Zero,Religious Sites,NewYork,USA
112,Museum of Sex,Speciality Museums • Art Museums,NewYork,USA
113,The Met Breuer,Art Museums,NewYork,USA
114,Lunt-Fontanne Theatre,Theaters,NewYork,USA
115,The Shops at Columbus Circle,Shopping Malls,NewYork,USA
116,Trump Tower,Points of Interest & Landmarks • Observation Decks & Towers,NewYork,USA
117,Hudson Theatre,Theaters,NewYork,USA
118,Park Avenue,Neighborhoods • Historic Walking Areas,NewYork,USA
119,Ripley's Believe It or Not! Times Square,Speciality Museums,NewYork,USA
120,Herald Square,Points of Interest & Landmarks,NewYork,USA
121,Alice in Wonderland Statue,Monuments & Statues,NewYork,USA
122,Columbus Circle,Neighborhoods • Points of Interest & Landmarks,NewYork,USA
123,Penn Station,Points of Interest & Landmarks,NewYork,USA
124,Gerald Schoenfeld Theatre,Theaters,NewYork,USA
125,The Shops & Restaurants at Hudson Yards,Shopping Malls,NewYork,USA
126,Fraunces Tavern Museum,Historic Sites • Architectural Buildings,NewYork,USA
127,Federal Hall,Historic Sites • Architectural Buildings,NewYork,USA
128,Balto Statue,Monuments & Statues,NewYork,USA
129,Unisphere,Points of Interest & Landmarks,NewYork,USA
130,Imperial Theatre,Theaters,NewYork,USA
131,Studio 54,Theaters,NewYork,USA
132,,1,NewYork,USA
133,Pier 17,Piers & Boardwalks,NewYork,USA
134,New York Harbor,Bodies of Water,NewYork,USA
135,New York City Fire Museum,Speciality Museums • Bridges,NewYork,USA
136,Federal Reserve Bank of New York,Architectural Buildings • History Museums,NewYork,USA
137,Charging Bull (Wall Street Bull),Monuments & Statues,NewYork,USA
138,Al Hirschfeld Theatre,Theaters,NewYork,USA
139,St James Theatre,Theaters,NewYork,USA
140,Bethel Gospel Assembly,Churches & Cathedrals,NewYork,USA
141,Shubert Theatre,Theaters,NewYork,USA
