,Attraction Name,Attraction Type,City,Country
128,Shanghai Science and Technology Museum,Speciality Museums,Shanghai,China
129,Changfeng Park,Water Parks • Parks,Shanghai,China
130,Shanghai Museum of Sun Yat-sen's Former Residence,Speciality Museums,Shanghai,China
131,Sheshan Catholic Church,Religious Sites,Shanghai,China
132,China Maritime Museum,Speciality Museums,Shanghai,China
133,Lu Xun Memorial and Gravesite,Parks • Cemeteries,Shanghai,China
134,Shanghai World Expo Museum,Speciality Museums,Shanghai,China
135,Shanghai's Hongqiao Pearl Market,Flea & Street Markets,Shanghai,China
136,Longhua Memorial Park of Revolutionary Martyrs,Cemeteries • Monuments & Statues,Shanghai,China
137,Shanghai Flower Port,Points of Interest & Landmarks,Shanghai,China
138,M&M's World,Speciality Museums,Shanghai,China
139,Lujiazui Central Greenland,Parks,Shanghai,China
140,Shanghai Village,Shopping Malls,Shanghai,China
141,Jewish Ghetto,Historic Sites,Shanghai,China
142,Power Station of Art,Art Museums,Shanghai,China
143,Fuyoumen Commercial Building,Flea & Street Markets,Shanghai,China
144,Long Museum (West Bund),Art Galleries • Art Museums,Shanghai,China
145,Gucun Garden,Parks,Shanghai,China
146,Jackie Chan Film Gallery,Art Museums,Shanghai,China
147,Shanghai Xinchang Ancient Town,Points of Interest & Landmarks,Shanghai,China
148,Shanghai Jiangnan Silk Museum,Speciality Museums,Shanghai,China
149,Huxinting Teahouse (Huxinting Chashi),Historic Sites • Historic Walking Areas,Shanghai,China
150,Thames Town,Amusement & Theme Parks,Shanghai,China
151,Museum of Illusions,Speciality Museums,Shanghai,China
152,Jinze Ancient Town,Bridges,Shanghai,China
153,,1,Shanghai,China
154,Shanghai Concert Hall,Theaters,Shanghai,China
155,Sky SOHO,Points of Interest & Landmarks,Shanghai,China
156,Shanghai Film Museum,Speciality Museums,Shanghai,China
157,Pudong Development Bank (Fazhan Yinhang),Architectural Buildings,Shanghai,China
158,Shanghai City History Development Museum,History Museums,Shanghai,China
159,Hengshan Leisure Street,Points of Interest & Landmarks,Shanghai,China
160,Shanghai World Expo Exhibition & Convention Center,Speciality Museums,Shanghai,China
161,Madame Tussauds Shanghai,Speciality Museums,Shanghai,China
162,Binjiang Park,Parks,Shanghai,China
163,Qi Zhong Stadium,Sports Complexes,Shanghai,China
164,Shanghai Chedun Film Park,Amusement & Theme Parks,Shanghai,China
165,HKRI Taikoo Hui,Shopping Malls,Shanghai,China
166,Joy City Shopping Mall (Xizang road),Shopping Malls,Shanghai,China
167,Shanghai Zhenru Temple,Historic Sites • Religious Sites,Shanghai,China
168,Hong Kong Plaza,Shopping Malls,Shanghai,China
169,Shanghai Duolun Road Cultural Celebrities Street,Points of Interest & Landmarks,Shanghai,China
170,Wanda Plaza (wujiaochang),Shopping Malls,Shanghai,China
171,Qipu Road Clothing Wholesale Market,Points of Interest & Landmarks,Shanghai,China
172,Shanghai Jiao Tong University,Points of Interest & Landmarks,Shanghai,China
173,Epson TeamLab Borderless - Shanghai,Art Museums,Shanghai,China
174,Gucun Cherry Blossom Fair,Cultural Events,Shanghai,China
175,Garden Bridge,Bridges,Shanghai,China
176,THE HUB,Shopping Malls,Shanghai,China
177,k11 Art,Shopping Malls,Shanghai,China
178,Bund Valentine Wall,Bodies of Water • Observation Decks & Towers,Shanghai,China
179,Shanghai Hongkou Football Stadium,Arenas & Stadiums,Shanghai,China
180,Shanghai Renmin Park,Amusement & Theme Parks • Parks,Shanghai,China
181,New world city plaza,Shopping Malls,Shanghai,China
182,Antique Garden,Gardens,Shanghai,China
183,Shanghai Grand View Garden,Gardens,Shanghai,China
184,,1,Shanghai,China
185,Lu Xun Museum,Speciality Museums,Shanghai,China
186,Chinese Printed Blue Nankeen Exhibition Hall,Speciality Museums • Art Museums,Shanghai,China
187,Shanghai Haichang Ocean Park,Amusement & Theme Parks • Aquariums,Shanghai,China
188,Columbia Circle,Historic Walking Areas,Shanghai,China
189,Thumb Plaza,Shopping Malls,Shanghai,China
190,Prada Rong Zhai (Shanghai),Art Galleries • Speciality Museums,Shanghai,China
191,Moganshan Road,Art Museums,Shanghai,China
192,Westgate Isetan Department Store,Shopping Malls,Shanghai,China
193,island6 Arts Center,Art Galleries • Speciality Museums,Shanghai,China
194,SML Center,Shopping Malls,Shanghai,China
195,Chinese Wushu Museum,Speciality Museums,Shanghai,China
196,Donglin Temple,Religious Sites,Shanghai,China
197,Dishui Lake,Bodies of Water,Shanghai,China
198,Shanghai Aegean Plaza,Shopping Malls,Shanghai,China
199,Yangshan Deepwater Harbor,Islands,Shanghai,China
200,Dongdong Ferry,Ferries,Shanghai,China
201,Parkson Shopping Center (tianshan),Shopping Malls,Shanghai,China
202,The Guangfulin Site of Ancient Culture,Historic Walking Areas,Shanghai,China
203,Fuyou Road Mosque,Religious Sites,Shanghai,China
204,Yueyuanyuan Sculpture Park,Parks • Monuments & Statues,Shanghai,China
205,Lu Gong Coin and Stamp Collectors Market,Flea & Street Markets,Shanghai,China
206,Rockbund Art Museum,Speciality Museums,Shanghai,China
207,Jing An Kerry Centre,Shopping Malls,Shanghai,China
208,"Florentia Village, Shanghai Luxury Designer Outlet",Factory Outlets • Shopping Malls,Shanghai,China
209,Shanghai Shangcheng,Theaters • Shopping Malls,Shanghai,China
210,Grand Gateway 66 Plaza,Shopping Malls,Shanghai,China
211,Xujiahui Park,Parks,Shanghai,China
212,SNH48 Theater,Theaters,Shanghai,China
213,Takashimaya Department Store,Shopping Malls,Shanghai,China
214,Mitsukoshi Department Store,Shopping Malls,Shanghai,China
215,,1,Shanghai,China
216,Sky Mall,Shopping Malls,Shanghai,China
217,Changle Road,Points of Interest & Landmarks,Shanghai,China
218,Animal Market,Flea & Street Markets,Shanghai,China
219,LWH Gallery,Art Galleries,Shanghai,China
220,Stunt Yunfeng,Theaters,Shanghai,China
221,Mu'en Church,Architectural Buildings • Religious Sites,Shanghai,China
222,Natural Wild-insect Kingdom,Natural History Museums,Shanghai,China
223,Himalayas Art Center,Architectural Buildings,Shanghai,China
224,West Bund Art Center,Art Galleries,Shanghai,China
225,Wing on Department Store,Shopping Malls,Shanghai,China
226,The first department Store (Nanjing East Road),Shopping Malls,Shanghai,China
227,Jiading Confucian Temple,Religious Sites,Shanghai,China
228,Century Boulevard,Points of Interest & Landmarks • Historic Walking Areas,Shanghai,China
229,Xujiahui Business Circle,Points of Interest & Landmarks,Shanghai,China
230,Shanghai times Square,Shopping Malls,Shanghai,China
231,Xiahai Temple,Religious Sites,Shanghai,China
232,Golden Bridge international business Plaza,Shopping Malls,Shanghai,China
233,Jiading Fahua Tower,Historic Sites • Religious Sites,Shanghai,China
234,Jinshan City Beach,Beaches,Shanghai,China
235,Jing'an Temple Square,Points of Interest & Landmarks,Shanghai,China
236,L Avenue,Shopping Malls,Shanghai,China
237,The Mixc,Shopping Malls,Shanghai,China
238,Square Pagoda,Architectural Buildings • Religious Sites,Shanghai,China
239,HuangHe Lu MeiShi XiuXian Jie,Points of Interest & Landmarks,Shanghai,China
240,Parkson Shopping Center (Xinzhuang),Shopping Malls,Shanghai,China
241,Shanghai Yuehu Sculpture Park,Parks,Shanghai,China
242,Shanghai Children’s Museum,Children's Museums,Shanghai,China
243,LuJiaZui JingTing,Points of Interest & Landmarks,Shanghai,China
244,Shanghai Public Security Museum,Speciality Museums,Shanghai,China
245,Lupu Bridge,Bridges,Shanghai,China
246,,1,Shanghai,China
247,Shanghai Camera History Museum,Speciality Museums,Shanghai,China
248,Shanghai Guanfu Museum,Art Museums • History Museums,Shanghai,China
249,Red Star Macalline (Shanghai Pudong),Shopping Malls,Shanghai,China
250,Han City Shopping Mall,Shopping Malls,Shanghai,China
251,Songjiang Mosque,Historic Sites • Religious Sites,Shanghai,China
252,Sega Joypolis,Amusement & Theme Parks,Shanghai,China
253,Tan Garden,Gardens,Shanghai,China
254,Former Residence of Maozedong,Points of Interest & Landmarks,Shanghai,China
255,Jiangwan Sports Complex,Sports Complexes,Shanghai,China
256,Yuyuan Fashion Street,Points of Interest & Landmarks • Flea & Street Markets,Shanghai,China
257,Hongqiao Park,Parks,Shanghai,China
258,Hongmei Enterainment Street,Flea & Street Markets,Shanghai,China
259,Pudong Gaoqiao Riverside Forest Park,Parks • Forests,Shanghai,China
260,Asia-Pacific Beijing meeting Market,Flea & Street Markets,Shanghai,China
261,Former Residence of Zhou Enlai,Points of Interest & Landmarks,Shanghai,China
262,New world of fashion Mall,Shopping Malls,Shanghai,China
263,Old City Wall at Dajing Road (Dajing Ge),Historic Sites • Points of Interest & Landmarks,Shanghai,China
264,Yun Zhou antique city Market,Antique Shops,Shanghai,China
265,Zhang'ailing Former Home Changde Apartment,History Museums,Shanghai,China
266,Shanghai Tourist Service Center (Pudong Airport T2),Visitor Centers,Shanghai,China
267,Bird and flower Market(zhoujiazui road),Flea & Street Markets,Shanghai,China
268,Shanghai Museum of Animation,Speciality Museums,Shanghai,China
269,The first Yaohan Mall,Shopping Malls,Shanghai,China
270,Yifu Theater,Theaters,Shanghai,China
271,Shanghai Baiyun Taoist Temple,Religious Sites,Shanghai,China
272,3D Printing Cultural Museum,Science Museums • Art Museums,Shanghai,China
273,Daning Lvdi Park,Parks,Shanghai,China
274,Wanda Plaza (Baoshan),Shopping Malls,Shanghai,China
275,Yanzhong Greenland,Marinas • Bodies of Water,Shanghai,China
276,Yu Garden Light Show,Cultural Events,Shanghai,China
277,,1,Shanghai,China
278,Chinese Folk Paint Village,Art Galleries • Points of Interest & Landmarks,Shanghai,China
279,Painter's Street,Art Galleries,Shanghai,China
280,Longhua Temple Spring Festival Ceremony,Cultural Events,Shanghai,China
281,Nanyuan Binjiang Park,Parks,Shanghai,China
282,Chen Y i Square,Points of Interest & Landmarks,Shanghai,China
283,Bihaijinsha Wonder World,Beaches • Beach & Pool Clubs,Shanghai,China
284,Shanghai Dianchun Hall,Historic Sites,Shanghai,China
285,Shanghai Royal Yangdian Taoist Temple,Religious Sites,Shanghai,China
286,Shanghai International Convention Center,Points of Interest & Landmarks • Architectural Buildings,Shanghai,China
287,Shanghai Association,Historic Sites,Shanghai,China
288,Yanwu space rockclimbing center,Sports Complexes,Shanghai,China
289,Nanhui Taohua Village,Points of Interest & Landmarks,Shanghai,China
290,Westgate Plaza,Shopping Malls,Shanghai,China
291,Pudong food town Market,Flea & Street Markets,Shanghai,China
292,Xilin Temple,Religious Sites,Shanghai,China
293,Glass Museum of China,Speciality Museums,Shanghai,China
294,The ocean Plaza,Shopping Malls,Shanghai,China
295,Dianshan Lake,Bodies of Water,Shanghai,China
296,Jinshan Peasant Painting Academy,Art Galleries,Shanghai,China
297,Lippo Plaza,Shopping Malls,Shanghai,China
298,Changli Road Night Market,Flea & Street Markets,Shanghai,China
299,Brilliance West Shopping Mall,Shopping Malls,Shanghai,China
300,Star tours city Plaza,Shopping Malls,Shanghai,China
301,Shanghai Center of Photography (SCoP),Art Galleries • Speciality Museums,Shanghai,China
302,Song Hu Campaign Memorial Hall,Monuments & Statues • History Museums,Shanghai,China
303,Shanghai Tou-Se-We Museum,History Museums,Shanghai,China
304,Ciro's Plaza,Shopping Malls,Shanghai,China
305,Wujiang Road pedestrian Street,Flea & Street Markets,Shanghai,China
306,FOXTOWN International Plaza,Shopping Malls,Shanghai,China
307,Yueda 889 Square,Shopping Malls,Shanghai,China
308,,1,Shanghai,China
309,Chinese Folk Paint Village,Art Galleries • Points of Interest & Landmarks,Shanghai,China
310,Painter's Street,Art Galleries,Shanghai,China
311,Nanyuan Binjiang Park,Parks,Shanghai,China
312,Chen Y i Square,Points of Interest & Landmarks,Shanghai,China
313,,1,Shanghai,China
314,Shanghai Lanxin Theater,Theaters,Shanghai,China
315,Hong Kong famous restaurant Street,Shopping Malls,Shanghai,China
316,Shine Dream Miniatures,Points of Interest & Landmarks • Art Museums,Shanghai,China
317,Notre Dame Church,Religious Sites,Shanghai,China
318,The lost city of gold road commercial pedestrian Street,Flea & Street Markets,Shanghai,China
319,Chuansha Park,Parks,Shanghai,China
320,818 Square,Shopping Malls,Shanghai,China
321,Huangxing Park,Parks,Shanghai,China
322,Magnolia Theater,Theaters,Shanghai,China
323,Modern electronic city Market,Flea & Street Markets,Shanghai,China
324,Rose square Shopping Center,Flea & Street Markets,Shanghai,China
325,Central Plaza,Shopping Malls,Shanghai,China
326,Shanghai Municipal Archives,Speciality Museums,Shanghai,China
327,Jinshanzui Fishing Village,Historic Sites • Neighborhoods,Shanghai,China
328,Huaihai Park,Parks,Shanghai,China
329,Hanglung Plaza,Shopping Malls,Shanghai,China
330,Shanghai Lu Xun's Former Residence,Historic Sites,Shanghai,China
331,Shanghai Jewish Site,Historic Sites,Shanghai,China
332,Jiading Nanxiang Twin Towers,Observation Decks & Towers,Shanghai,China
333,Hongyi Plaza,Shopping Malls,Shanghai,China
334,Long Wu imported fruit and vegetable wholesale Market,Flea & Street Markets,Shanghai,China
335,Paris in spring Store (dingxi road),Shopping Malls,Shanghai,China
336,City Commercial,Shopping Malls,Shanghai,China
337,Shanghai International Exhibition Center,Speciality Museums,Shanghai,China
338,With full spring tea Market,Flea & Street Markets,Shanghai,China
339,Far East International Plaza,Shopping Malls,Shanghai,China
340,Star Live Plaza,Shopping Malls,Shanghai,China
341,Chin Grant Yang Temple,Ancient Ruins • Religious Sites,Shanghai,China
342,Yuan Shen Natatorium ( Swimming Pool),Sports Complexes,Shanghai,China
343,Fuk in antique city Market,Antique Shops,Shanghai,China
344,,1,Shanghai,China
