,Attraction Name,Attraction Type,City,Country
99,Illuseum Berlin,Speciality Museums,Berlin,Germany
100,German-Russian Museum,Speciality Museums,Berlin,Germany
101,Deutsche Oper Berlin,Theaters,Berlin,Germany
102,Theater des Westens,Theaters,Berlin,Germany
103,Humboldthain Flak Tower,Points of Interest & Landmarks • Observation Decks & Towers,Berlin,Germany
104,LEGOLAND Discovery Centre,Game & Entertainment Centers,Berlin,Germany
105,Liebermann-Villa am Wannsee,Art Museums,Berlin,Germany
106,Little BIG City Berlin,Speciality Museums • Children's Museums,Berlin,Germany
107,Wall Museum - Checkpoint Charlie,Speciality Museums,Berlin,Germany
108,AquaDom & SEA LIFE Berlin,Aquariums,Berlin,Germany
109,Teufelsberg,Points of Interest & Landmarks • Observation Decks & Towers,Berlin,Germany
110,Allied Museum (Alliierten Museum),Military Museums • History Museums,Berlin,Germany
111,Rotes Rathaus,Architectural Buildings,Berlin,Germany
112,Bebelplatz,Historic Sites,Berlin,Germany
113,Oranienburgerstrasse,Points of Interest & Landmarks,Berlin,Germany
114,Helmut Newton Foundation,Speciality Museums • Art Museums,Berlin,Germany
115,Volkspark Friedrichshain,Parks,Berlin,Germany
116,Berlin Museum of Medical History of the Charite,Speciality Museums,Berlin,Germany
117,Museum St. Nicholas Church,Architectural Buildings • History Museums,Berlin,Germany
118,Humboldt University (Humboldt Universitat),Educational sites,Berlin,Germany
119,Savignyplatz,Neighborhoods,Berlin,Germany
120,German State Opera (Deutsche Staatsoper),Speciality Museums • Theaters,Berlin,Germany
121,Monsterkabinett,Speciality Museums,Berlin,Germany
122,Gropius Bau,Architectural Buildings • Art Museums,Berlin,Germany
123,Neptunbrunnen,Points of Interest & Landmarks • Fountains,Berlin,Germany
124,Strandbad Wannsee,Beaches,Berlin,Germany
125,,1,Berlin,Germany
126,Military History Museum,Military Museums,Berlin,Germany
127,Haus Schwarzenberg,Art Galleries,Berlin,Germany
128,Neue Wache,History Museums,Berlin,Germany
129,Soviet Memorial Tiergarten,Historic Sites,Berlin,Germany
130,Illuseum Berlin,Speciality Museums,Berlin,Germany
131,German-Russian Museum,Speciality Museums,Berlin,Germany
132,Deutsche Oper Berlin,Theaters,Berlin,Germany
133,Theater des Westens,Theaters,Berlin,Germany
134,Humboldthain Flak Tower,Points of Interest & Landmarks • Observation Decks & Towers,Berlin,Germany
135,LEGOLAND Discovery Centre,Game & Entertainment Centers,Berlin,Germany
136,Liebermann-Villa am Wannsee,Art Museums,Berlin,Germany
137,Little BIG City Berlin,Speciality Museums • Children's Museums,Berlin,Germany
138,Wall Museum - Checkpoint Charlie,Speciality Museums,Berlin,Germany
139,AquaDom & SEA LIFE Berlin,Aquariums,Berlin,Germany
140,Teufelsberg,Points of Interest & Landmarks • Observation Decks & Towers,Berlin,Germany
141,Allied Museum (Alliierten Museum),Military Museums • History Museums,Berlin,Germany
142,Rotes Rathaus,Architectural Buildings,Berlin,Germany
143,Bebelplatz,Historic Sites,Berlin,Germany
144,Oranienburgerstrasse,Points of Interest & Landmarks,Berlin,Germany
145,Helmut Newton Foundation,Speciality Museums • Art Museums,Berlin,Germany
146,Volkspark Friedrichshain,Parks,Berlin,Germany
147,Berlin Museum of Medical History of the Charite,Speciality Museums,Berlin,Germany
148,Museum St. Nicholas Church,Architectural Buildings • History Museums,Berlin,Germany
149,Humboldt University (Humboldt Universitat),Educational sites,Berlin,Germany
150,Savignyplatz,Neighborhoods,Berlin,Germany
151,German State Opera (Deutsche Staatsoper),Speciality Museums • Theaters,Berlin,Germany
152,Monsterkabinett,Speciality Museums,Berlin,Germany
153,Gropius Bau,Architectural Buildings • Art Museums,Berlin,Germany
154,,1,Berlin,Germany
155,Marx-Engels-Forum,Parks,Berlin,Germany
156,Dali - The Exhibition at Potsdamer Platz,Art Museums,Berlin,Germany
157,Franzoesischer Dom,Observation Decks & Towers • Churches & Cathedrals,Berlin,Germany
158,Berliner Funkturm,Observation Decks & Towers,Berlin,Germany
159,Preußenpark,Parks,Berlin,Germany
160,Brücke Museum,Art Museums,Berlin,Germany
161,St. George and the Dragon Statue,Points of Interest & Landmarks • Monuments & Statues,Berlin,Germany
162,Grunewald Forest,Parks • Forests,Berlin,Germany
163,BRLO Brewery Tour & Tasting,Breweries,Berlin,Germany
164,C/O Berlin,Art Museums,Berlin,Germany
165,Bellevue Palace,Historic Sites • Castles,Berlin,Germany
166,City Palace (Berlin Stadtschloss),Historic Sites • Points of Interest & Landmarks,Berlin,Germany
167,DDR Museum: Motorrad,Speciality Museums,Berlin,Germany
168,David Hasselhoff Museum,Speciality Museums,Berlin,Germany
169,Alte Försterei,Arenas & Stadiums,Berlin,Germany
170,Admiralspalast Berlin,Theaters,Berlin,Germany
171,Stiftung Neue Synagoge Berlin - Centrum Judaicum,Speciality Museums • Religious Sites,Berlin,Germany
172,Bergmannstrasse,Points of Interest & Landmarks,Berlin,Germany
173,Museum of Greek and Roman Antiquities (Antikensammlung),Art Museums • History Museums,Berlin,Germany
174,Lustgarten,Parks • Gardens,Berlin,Germany
175,Dong Xuan Center,Flea & Street Markets,Berlin,Germany
