,Attraction Name,Attraction Type,City,Country
97,Ahmanson Theatre,Theaters,Los Angeles,USA
98,Beverly Center,Art Museums • Shopping Malls,Los Angeles,USA
99,Avila Adobe,Historic Sites • History Museums,Los Angeles,USA
100,Transformers: The Ride - 3D,Rides & Activities,Los Angeles,USA
101,Flower Market,Flea & Street Markets,Los Angeles,USA
102,Lake Balboa Park,Bodies of Water • Parks,Los Angeles,USA
103,Marciano Art Foundation,Art Museums,Los Angeles,USA
104,Samuel Oschin Air & Space Center,Science Museums,Los Angeles,USA
105,Hollywood Wax Museum,Speciality Museums,Los Angeles,USA
106,Museum of Death,Speciality Museums,Los Angeles,USA
107,Harry Potter and the Forbidden Journey,Rides & Activities,Los Angeles,USA
108,Wiltern Theatre,Architectural Buildings • Theaters,Los Angeles,USA
109,Los Angeles Convention Center,Convention Centers,Los Angeles,USA
110,LA Fashion District,Neighborhoods,Los Angeles,USA
111,The Museum of Contemporary Art,Art Museums,Los Angeles,USA
112,Westfield Topanga,Shopping Malls,Los Angeles,USA
113,Ripley's Believe It or Not!,Speciality Museums,Los Angeles,USA
114,Mosaic Tile House,Points of Interest & Landmarks,Los Angeles,USA
115,Playa Del Rey Beach,Beaches,Los Angeles,USA
116,Temescal Gateway Park,Hiking Trails,Los Angeles,USA
117,Grand Park,Parks,Los Angeles,USA
118,Art District,Neighborhoods,Los Angeles,USA
119,Capitol Records Building,Architectural Buildings,Los Angeles,USA
120,Los Angeles Memorial Coliseum,Historic Sites • Arenas & Stadiums,Los Angeles,USA
121,Mrs. Fish,Art Galleries,Los Angeles,USA
122,Heritage Square Museum,Historic Sites • Neighborhoods,Los Angeles,USA
123,Hollywood Reservoir,Bodies of Water • Hiking Trails,Los Angeles,USA
124,,1,Los Angeles,USA
125,California African American Museum,Art Museums • History Museums,Los Angeles,USA
126,Park La Brea,Neighborhoods,Los Angeles,USA
127,Dorothy Chandler Pavilion,Theaters,Los Angeles,USA
128,Cabrillo Marine Aquarium,Aquariums,Los Angeles,USA
129,Wells Fargo Museum,Speciality Museums • History Museums,Los Angeles,USA
130,Point Fermin Park,Lookouts • Parks,Los Angeles,USA
131,Hammer Museum,Art Galleries • Art Museums,Los Angeles,USA
132,Dockweiler State Beach,Beaches,Los Angeles,USA
133,Los Feliz,Neighborhoods,Los Angeles,USA
134,Banc of California Stadium,Arenas & Stadiums,Los Angeles,USA
135,Will Rogers State Beach,Beaches,Los Angeles,USA
136,Lake Shrine Temple and Retreat,Parks,Los Angeles,USA
137,The Santee Alley,Flea & Street Markets,Los Angeles,USA
138,Angelino Heights Historic Area,Neighborhoods,Los Angeles,USA
139,FIDM Museum and Galleries,Art Museums,Los Angeles,USA
140,Point Fermin Lighthouse,Lighthouses,Los Angeles,USA
141,The Walking Dead Attraction,Rides & Activities,Los Angeles,USA
142,Cabrillo Beach,Beaches,Los Angeles,USA
143,Bob Baker Marionette Theater,Theaters,Los Angeles,USA
144,Hauser & Wirth,Art Galleries,Los Angeles,USA
145,Downtown Historic District,Historic Walking Areas,Los Angeles,USA
146,Guinness World Records Museum,Speciality Museums,Los Angeles,USA
147,Wildlife Learning Center,Zoos,Los Angeles,USA
148,S.S. Lane Victory,Military Museums • History Museums,Los Angeles,USA
149,Kenneth Hahn State Recreation Area,Nature & Wildlife Areas,Los Angeles,USA
150,Geffen Playhouse,Theaters,Los Angeles,USA
151,Los Angeles Police Museum,Speciality Museums,Los Angeles,USA
152,Melrose Place,Shopping Malls,Los Angeles,USA
153,Larchmont Village,Neighborhoods,Los Angeles,USA
154,Metrolink,Public Transportation Systems,Los Angeles,USA
155,,1,Los Angeles,USA
156,Loyola Marymount University,Universities & Schools,Los Angeles,USA
157,La Plaza de Cultura Y Artes,Art Museums,Los Angeles,USA
158,Pershing Square,Points of Interest & Landmarks,Los Angeles,USA
159,Greenbar Distillery,Distilleries,Los Angeles,USA
160,El Rey Theater,Theaters,Los Angeles,USA
161,Ford Theatres,Theaters,Los Angeles,USA
162,Despicable Me Minion Mayhem,Rides & Activities,Los Angeles,USA
163,Sunken City,Points of Interest & Landmarks,Los Angeles,USA
164,Los Angeles Maritime Museum,Speciality Museums • Historic Sites,Los Angeles,USA
165,The Simpsons Ride,Rides & Activities,Los Angeles,USA
166,Mildred Mathias Botanical Gardens,Parks • Gardens,Los Angeles,USA
167,Valley Relics Museum,Speciality Museums,Los Angeles,USA
168,Macy's Plaza,Shopping Malls,Los Angeles,USA
169,Barnsdall Art Park,Art Galleries • Parks,Los Angeles,USA
170,MacArthur Park,Parks,Los Angeles,USA
171,Marvin Braude Bike Trail,Biking Trails,Los Angeles,USA
172,Venice Pier,Piers & Boardwalks,Los Angeles,USA
173,Hollywood and Vine,Neighborhoods • Points of Interest & Landmarks,Los Angeles,USA
174,Hollyridge Trail,Hiking Trails,Los Angeles,USA
175,Old Plaza Firehouse,Speciality Museums • Historic Sites,Los Angeles,USA
176,Our Lady Queen of Angels - Old Plaza,Churches & Cathedrals,Los Angeles,USA
177,San Gabriel Mountains,Mountains,Los Angeles,USA
178,Wisdome LA,Art Galleries • Art Museums,Los Angeles,USA
179,Chinese American Museum,Speciality Museums,Los Angeles,USA
180,Lovell Health House,Historic Sites • Architectural Buildings,Los Angeles,USA
181,LAX Theme Building,Points of Interest & Landmarks • Observation Decks & Towers,Los Angeles,USA
182,Hollywood Murals-You Are the Star,Points of Interest & Landmarks,Los Angeles,USA
183,Fowler Museum at UCLA,Speciality Museums,Los Angeles,USA
184,Neutra VDL House,Architectural Buildings • Civic Centres,Los Angeles,USA
185,Old Plaza,Historic Sites • Points of Interest & Landmarks,Los Angeles,USA
186,,1,Los Angeles,USA
187,Cupcake Theater,Theaters,Los Angeles,USA
188,Flutter Experience,Art Galleries • Art Museums,Los Angeles,USA
189,Los Angeles National Cemetery,Points of Interest & Landmarks • Cemeteries,Los Angeles,USA
190,Elysian Park,Parks • Jogging Paths & Tracks,Los Angeles,USA
