,Attraction Name,Attraction Type,City,Country
95,St. Michael's Church,Religious Sites • Churches & Cathedrals,Vienna,Austria
96,Beethoven Museum,Speciality Museums • Points of Interest & Landmarks,Vienna,Austria
97,Globe Museum of the Austrian National Library,Speciality Museums,Vienna,Austria
98,Schmetterlinghaus,Speciality Museums,Vienna,Austria
99,Russian Orthodox Cathedral of St. Nicholas,Religious Sites • Churches & Cathedrals,Vienna,Austria
100,Spittelberg Quarter,Historic Sites,Vienna,Austria
101,Vienna Museum,Speciality Museums • Art Museums,Vienna,Austria
102,Trinitarierkirche zum Heiligen Franz von Assisi,Churches & Cathedrals,Vienna,Austria
103,Mozarthaus Vienna,Speciality Museums • Historic Sites,Vienna,Austria
104,Otto Wagner Majolikahaus,Architectural Buildings,Vienna,Austria
105,Stadttempel Synagogue,Religious Sites,Vienna,Austria
106,United Nations in Vienna,Architectural Buildings • Government Buildings,Vienna,Austria
107,Remise Verkehrsmuseum,Speciality Museums,Vienna,Austria
108,Secession Building (Secessionsgebaude),Architectural Buildings • Art Museums,Vienna,Austria
109,Dominican Church,Churches & Cathedrals,Vienna,Austria
110,Griechenkirche zur heiligen Dreifaltigkeit,Points of Interest & Landmarks • Churches & Cathedrals,Vienna,Austria
111,Sigmund Freud Museum,Speciality Museums • Historic Sites,Vienna,Austria
112,Schwarzenbergplatz,Points of Interest & Landmarks,Vienna,Austria
113,Freyung,Historic Sites • Points of Interest & Landmarks,Vienna,Austria
114,Dorotheum,Art Galleries,Vienna,Austria
115,Österreichisches Parlament,Government Buildings,Vienna,Austria
116,Jewish Museum Vienna (Jüdisches Museum der Stadt Wien),History Museums,Vienna,Austria
117,Burgtheater,Theaters,Vienna,Austria
118,Maria Am Gestade,Historic Sites • Architectural Buildings,Vienna,Austria
119,Ice-skating,Sports Complexes,Vienna,Austria
120,Wiener Eistraum,Sports Camps & Clinics,Vienna,Austria
121,Chocolate Museum Vienna,Speciality Museums,Vienna,Austria
122,Danube Canal (Donau Kanal),Bodies of Water • Historic Walking Areas,Vienna,Austria
123,Vienna Ring Tram,Trams,Vienna,Austria
124,,1,Vienna,Austria
125,Blumengaerten Hirschstetten,Gardens,Vienna,Austria
126,Vienna University of Economics and Business,Universities & Schools,Vienna,Austria
127,Postsparkasse,Architectural Buildings,Vienna,Austria
128,Westbahn,Public Transportation Systems,Vienna,Austria
129,Ernst Happel Stadion,Arenas & Stadiums,Vienna,Austria
130,BahnhofCity Wien Hauptbahnhof,Shopping Malls,Vienna,Austria
131,Strandbad Gänsehäufel,Sports Complexes,Vienna,Austria
132,Kaiserappartements,Historic Sites,Vienna,Austria
133,Museum of Modern Art Ludwig Foundation (MUMOK),Art Museums,Vienna,Austria
134,Billa Corso im Herrnhuterhaus,Shopping Malls,Vienna,Austria
135,Bermuda Triangle,Neighborhoods,Vienna,Austria
136,Heldendenkmal der Roten Armee,Points of Interest & Landmarks,Vienna,Austria
137,Capuchin Church (Kapuzinerkirche),Religious Sites,Vienna,Austria
138,Palais Auersperg,Points of Interest & Landmarks,Vienna,Austria
139,Tez Info Shop,Visitor Centers,Vienna,Austria
140,Flohmarkt am Naschmarkt,Flea & Street Markets,Vienna,Austria
141,Franziskanerkirche,Points of Interest & Landmarks,Vienna,Austria
142,Casino Wien,Casinos,Vienna,Austria
143,Wien Museum Hermesvilla,Speciality Museums • Historic Sites,Vienna,Austria
144,St. Rupert's Church (Ruprechtskirche),Religious Sites,Vienna,Austria
145,Maria Theresien Square,Points of Interest & Landmarks,Vienna,Austria
146,Botanischer Garten (Botanical Garden of the University of Vienna),Gardens,Vienna,Austria
147,Raimund Theater,Concerts • Theaters,Vienna,Austria
148,ZOOM Kindermuseum,Speciality Museums • Children's Museums,Vienna,Austria
149,Klimt Villa,Historic Sites • Art Museums,Vienna,Austria
150,Wiener Stadthalle,Convention Centers,Vienna,Austria
151,Johann Strauss Museum,Speciality Museums,Vienna,Austria
152,Allianz Stadion,Points of Interest & Landmarks • Arenas & Stadiums,Vienna,Austria
153,Am Hof,Points of Interest & Landmarks,Vienna,Austria
154,Silberkammer,Art Museums,Vienna,Austria
155,,1,Vienna,Austria
156,Otto Wagner Pavillon Karlsplatz,Architectural Buildings,Vienna,Austria
157,Albertinaplatz,Points of Interest & Landmarks,Vienna,Austria
158,Schottenkirche,Churches & Cathedrals,Vienna,Austria
159,Akademie der bildenden Kunste,Art Galleries • Art Museums,Vienna,Austria
