,Attraction Name,Attraction Type,City,Country
92,Opera Lounge,Art Galleries,Barcelona,Spain
93,,6,Barcelona,Spain
94,Parc del Forum,Historic Sites • Parks,Barcelona,Spain
95,Carrer de Montcada,Points of Interest & Landmarks • Historic Walking Areas,Barcelona,Spain
96,Mercat de Sants,Other Food & Drink • Farmers Markets,Barcelona,Spain
97,Jardins del Mirador del Alcalde,Gardens,Barcelona,Spain
98,Iglesia de San Jaime,Churches & Cathedrals,Barcelona,Spain
99,Placa de la Virreina,Points of Interest & Landmarks,Barcelona,Spain
100,Gran Lago del Parque de la Ciudadela,Bodies of Water,Barcelona,Spain
101,Parc de la Ciutadella Centre Esportiu Municipal,Sports Complexes,Barcelona,Spain
102,Rambla Del Raval,Points of Interest & Landmarks,Barcelona,Spain
103,Museu Diocesà de Barcelona,Speciality Museums,Barcelona,Spain
104,Parroquia de San Agustin,Points of Interest & Landmarks,Barcelona,Spain
105,Col·legi d'Arquitectes de Catalunya,Architectural Buildings,Barcelona,Spain
106,Esglesia de l'hospital de la Santa Creu i Santa Pau,Churches & Cathedrals,Barcelona,Spain
107,Eixample Teatre,Theaters,Barcelona,Spain
108,Flirty Giraffe,Points of Interest & Landmarks • Monuments & Statues,Barcelona,Spain
109,Mercat de la Llibertat,Farmers Markets,Barcelona,Spain
110,Escultura Carmela,Monuments & Statues,Barcelona,Spain
111,Enrique Tomas,Points of Interest & Landmarks,Barcelona,Spain
112,Placa de Rius i Taulet,Points of Interest & Landmarks,Barcelona,Spain
113,Font de Canaletes,Fountains,Barcelona,Spain
114,Los Pabellones de la Finca Guell,Architectural Buildings,Barcelona,Spain
115,Mercat de mercats,Flea & Street Markets • Farmers Markets,Barcelona,Spain
116,University of Barcelona,Points of Interest & Landmarks • Architectural Buildings,Barcelona,Spain
117,Monument to Frederic Soler i Hubert,Monuments & Statues,Barcelona,Spain
118,Fuente de las Tres Gracias,Fountains,Barcelona,Spain
119,Plaça George Orwell,Points of Interest & Landmarks,Barcelona,Spain
120,Calatrava Tower,Points of Interest & Landmarks,Barcelona,Spain
121,Parlament de Catalunya,Architectural Buildings • Government Buildings,Barcelona,Spain
122,Font de Santa Anna,Historic Sites • Ancient Ruins,Barcelona,Spain
123,Casa Bruno Quadros,Architectural Buildings,Barcelona,Spain
